"","x"
"1",3.84783919366046
"2",3.39992570163768
"3",3.53287115694675
"4",2.5857530948823
"5",3.08993218189942
"6",3.59065647883011
"7",5.38459005774507
"8",3.62546587886859
"9",3.1882761888751
"10",3.75300057024398
"11",2.74372525880249
"12",3.20342366321696
"13",3.07328061562022
"14",2.48705462018005
"15",3.91447318036065
"16",5.07381605978488
"17",3.35361190010405
"18",3.27312774605243
"19",4.09855782725213
"20",3.46454815799893
"21",2.95647761159606
"22",1.78556141759061
"23",4.00558192369423
"24",3.32093387674846
"25",2.99598639915178
"26",3.31267294276789
"27",3.49441991294225
"28",4.70422249429158
"29",5.06457219064219
"30",5.04659779597834
"31",2.89884737223921
"32",4.00544682876569
"33",2.33081730463844
"34",1.41528912695483
"35",2.86250432549176
"36",3.33540545353069
"37",3.43722977395331
"38",2.04699308063155
"39",4.64723075801642
"40",3.73700976199616
"41",2.36567670562202
"42",4.6303016533084
"43",1.85644938149683
"44",3.82140224589056
"45",3.24738956372547
"46",2.2718323632445
"47",2.47978877533435
"48",4.18078475052168
"49",1.53110747742735
"50",1.80300558375949
"51",3.4350642812906
"52",4.72456594025813
"53",3.31924017596407
"54",3.39038432776846
"55",3.06031507886581
"56",3.31386409259432
"57",3.80742630278889
"58",3.64802546883848
"59",3.74211779667163
"60",3.55550016245594
"61",2.49539969078392
"62",2.67732271548923
"63",2.26597731937232
"64",1.55086337801649
"65",4.16729266940982
"66",2.91438534385183
"67",4.09761031401094
"68",2.48673767145874
"69",3.22864730704361
"70",2.97953531548358
"71",3.82592099893841
"72",3.92746004115334
"73",3.82243398231391
"74",3.09046415913225
"75",4.76378379117798
"76",3.13955438910543
"77",2.61479530392818
"78",2.7529483325188
"79",4.14444278004647
"80",3.12446104161124
"81",4.17240029411319
"82",3.04449927253085
"83",2.50822151806869
"84",3.31600814942941
"85",4.49306114600324
"86",3.74271926499661
"87",2.70353616574219
"88",1.87856838560595
"89",3.41756935748867
"90",3.57351645547923
"91",3.77610768146395
"92",2.92823536661479
"93",4.45858635604592
"94",3.54776480484761
"95",4.51918705029876
"96",3.69509873976132
"97",2.65227834416308
"98",3.47917170156383
"99",3.7481280822276
"100",3.31256995255658
"101",4.26470095994772
"102",4.63395683890415
"103",3.53804457531807
"104",3.54827440209242
"105",2.19708484111354
"106",3.64242627949832
"107",2.37959071782871
"108",2.46393191083361
"109",3.54507349229577
"110",2.90545511010457
"111",3.07191474923857
"112",3.52311586145161
"113",3.35660021793046
"114",2.59423130872334
"115",4.08769769480296
"116",3.77387302611568
"117",3.33655470850735
"118",3.31546483643895
"119",3.26021524023707
"120",3.18715651534922
"121",2.91389193693869
"122",4.34324396731122
"123",3.34569269674001
"124",2.64056651238366
"125",3.3138135007647
"126",1.83466831028447
"127",3.69026295617622
"128",4.17436580212204
"129",3.53369107865601
"130",4.72584092276153
"131",5.67473306599104
"132",2.68797588233527
"133",3.36937699582541
"134",2.95970060127277
"135",2.67157704251984
"136",2.43631944374091
"137",2.43695076447955
"138",5.10335657747331
"139",4.15105096807487
"140",2.66808665366488
"141",3.13446072319785
"142",1.40493136426663
"143",4.00212552263295
"144",2.22856577825706
"145",4.17883668058206
"146",1.92972662713581
"147",3.37603204813807
"148",2.53774442917067
"149",2.64223319617579
"150",2.83506491910962
"151",5.23761106961026
"152",4.62676933380267
"153",2.86002154640616
"154",3.49815266118323
"155",3.13675411722914
"156",2.09324593510351
"157",3.64318275927598
"158",3.07527257744347
"159",3.53070720523024
"160",3.87867865162179
"161",3.4790649925072
"162",2.61962214469784
"163",3.51730868179788
"164",3.20084503742745
"165",1.95811426894875
"166",2.37871530502547
"167",2.35673854313576
"168",2.84069783668049
"169",2.26896684901829
"170",3.07408667822297
"171",3.17340602288017
"172",3.85742230245332
"173",3.63785890494827
"174",3.97827611203423
"175",3.96451431739472
"176",3.86403806212975
"177",2.74276645015457
"178",3.08058439753039
"179",3.97565802930694
"180",4.4976560330043
"181",2.92056738588088
"182",3.52726346984998
"183",4.97059109705999
"184",2.28542855972506
"185",2.61818772458634
"186",4.15195725107679
"187",3.73007845394651
"188",2.45960210605669
"189",2.8148716737479
"190",3.14941322115154
