"","x"
"1",3.92657675931163
"2",3.30479492313314
"3",2.987195743696
"4",4.18348512930897
"5",3.40049127506744
"6",3.54888957036018
"7",4.05778898731915
"8",2.95682987731303
"9",2.95832619640722
"10",2.6097816319511
"11",3.2366110118035
"12",3.31581001051253
"13",3.89518950744499
"14",4.53374196275814
"15",4.37371030941755
"16",4.08890414908397
"17",4.50480017901974
"18",3.10261759508153
"19",3.67535797239326
"20",3.33394964587335
"21",3.56330993153906
"22",3.6667947833483
"23",3.97416568329563
"24",3.56903372921398
"25",4.77517144637701
"26",4.05405025992492
"27",2.80006894520745
"28",3.72725739668286
"29",4.64526040756372
"30",4.09449668691256
"31",3.3100834454743
"32",3.27018044156171
"33",3.92594204111129
"34",3.59707458483279
"35",4.15555185983283
"36",3.92146822900857
"37",4.75866631956796
"38",3.73475587319186
"39",4.18468978008105
"40",3.11085916334326
"41",4.15931071764875
"42",4.7490828097895
"43",3.53848976210218
"44",2.83137714837771
"45",3.47305241473824
"46",4.10240761212078
"47",4.17678110986695
"48",3.15145373551755
"49",4.36874148217538
"50",4.05647167775743
"51",3.3453541545965
"52",5
"53",3.54937320662295
"54",3.97821798114288
"55",3.29561009349969
"56",3.53150604332581
"57",4.04809344327416
"58",4.07049739368714
"59",3.73901391334723
"60",3.0796480797529
"61",3.23601604342175
"62",3.56148670993868
"63",3.55087606261917
"64",3.30389224183279
"65",3.67202986007132
"66",3.49966948185635
"67",3.78382685416695
"68",3.98582037614249
"69",3.86475425997872
"70",3.65064265030176
"71",3.39001042585256
"72",2.78716828108974
"73",2.99963258463399
"74",3.57629786211709
"75",3.71445939511251
"76",3.63887850919889
"77",3.52596695591617
"78",4.17389499009834
"79",2.76410715089889
"80",3.97539237740668
"81",2.35630367489486
"82",2.68527192984265
"83",3.42002947485528
"84",4.00756034034891
"85",4.51244154803606
"86",2.19789108920343
"87",4.67833748235016
"88",4.13268985416889
"89",3.43117298920442
"90",4.02459968223731
"91",3.85172939461462
"92",3.07220716984582
"93",3.69995733439826
"94",4.80565445622095
"95",3.10213994325086
"96",4.20859341174156
"97",3.66085159204462
"98",3.57904199928595
"99",4.18979230092077
"100",3.65184698967374
"101",3.4224563298337
"102",4.77923662004065
"103",2.78611605903909
"104",3.65411238804119
"105",3.40705322217781
"106",3.32603050024941
"107",2.70887153950276
"108",3.40449312840494
"109",3.26853989735753
"110",3.08069674045405
"111",3.70052574242094
"112",3.1832488925269
"113",2.93209070552502
"114",3.67123001678706
"115",3.86620138584665
"116",3.62575745033715
"117",3.67602021637831
"118",3.08349732484917
"119",3.94278305553556
"120",4.54885406734839
"121",3.82907676750151
"122",2.68016792825311
"123",2.51246544485932
"124",2.43723922683865
"125",4.31742361981175
"126",4.24288338215297
"127",3.17472823261966
"128",4.04420106325148
"129",3.20425514754441
"130",3.95314552022594
"131",3.9174418587672
"132",3.6849519879041
"133",3.49702296564611
"134",3.20461441790523
"135",4.23502074712517
"136",4.24368573704812
"137",4.03470710145525
"138",4.0278275156291
"139",3.38813104255036
"140",3.52926987255845
"141",3.73844688164175
"142",3.15281746920215
"143",4.14850584212111
"144",2.98242507910994
"145",2.85356832851472
"146",3.67489534541718
"147",3.12356317922882
"148",3.34075929739672
"149",4.42425651927808
"150",3.25834037532543
"151",3.67344608509784
"152",4.57096066963827
"153",3.96434936470578
"154",3.46107194275669
"155",4.17928697855288
"156",3.90272241921809
"157",2.96852745680013
"158",2.99491684461252
"159",3.04255272101264
"160",3.2329779414495
"161",2.77322625815134
"162",3.99571605473995
"163",4.10807942212959
"164",3.55642106088286
"165",3.54858730652018
"166",3.58150185828545
"167",3.75109147116407
"168",3.60222496424357
"169",3.96921496306322
"170",3.01756903051344
"171",3.84428498718508
"172",3.09720134623661
"173",3.20046442932908
"174",4.01522970894467
"175",4.45527123586975
"176",3.85487577455368
"177",3.6954512304987
"178",2.79499679884378
"179",3.48299487661763
"180",2.09196876558841
"181",3.03237656365135
"182",4.2627189031679
"183",5
"184",3.88404872801508
"185",3.49134005207269
"186",3.75316056961957
"187",3.79062938737755
"188",3.73348698893258
"189",4.47820096270789
"190",3.82014166778338
"191",3.82439081942398
"192",2.28273555266585
"193",4.26470870306349
"194",4.08793672118333
"195",4.12659701193921
"196",3.90087853993672
"197",3.32344972058768
"198",3.35235908893745
"199",3.31407697097474
"200",3.7573511261622
"201",3.37553469428451
"202",3.32734783302489
"203",2.94145426037071
"204",3.85032150434083
"205",3.38477713517202
"206",1.98645996716705
"207",4.17166605387799
"208",4.0227391046816
"209",3.74874818865955
"210",4.2109917096364
"211",3.34395822619483
"212",4.14551448521346
"213",4.14189677856596
"214",4.79521758085917
"215",3.53815244856867
"216",4.40534789185933
"217",3.84505435982071
"218",2.9802321552569
"219",4.09955110767864
"220",3.94014306178995
"221",3.34565843886967
"222",2.61526393226155
"223",4.53579875447189
"224",3.51522173099036
"225",2.70029970875279
"226",2.81333201791229
"227",3.29017102471866
"228",3.42124690696572
"229",4.15451178102098
"230",3.15826679448936
"231",4.16810186319502
"232",3.08876674454797
"233",3.43364580539331
"234",3.76494760890719
"235",3.65023975751959
"236",3.46048325971637
"237",3.1922665630659
"238",3.84866641845832
"239",3.44512514282236
"240",3.56916375718112
"241",4.14467266584654
"242",3.93404576344434
"243",3.44969168502671
"244",2.51347971428607
"245",2.93149948615033
"246",3.58296908619801
"247",4.6437033183849
"248",3.54452909081646
"249",2.40338604663357
"250",3.37225882886122
"251",3.78188695233159
"252",3.24306237242241
"253",2.75749947076545
"254",3.65712713091156
"255",3.94975550753242
"256",3.71515006072457
"257",2.58897009717191
"258",2.81933210065552
"259",4.22766848470967
"260",4.32882207309422
"261",4.05975174866706
